from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
A2171,TB6170,,,,,2,625
A2006,TM2060,,,,,2,653
TM2060,A2006,,,,,2,653
TB2111,A2171,,,,,2,300
TB2171,A2171,,,,,2,0
A2171,TB2171,,,,,2,0
TM1994,A2171,,,,,2,671
A2171,TM1994,,,,,2,671
A0377,A2171,,,,,2,431
A2171,A0377,,,,,2,431
A2171,A2112,,,,,2,668
A2170,A2171,,,,,2,53
A2171,A2170,,,,,2,53
TM0671,TB0291,,,,,2,281
TB0291,TM0671,,,,,2,281
A0308,TB0291,,,,,2,127
TB0314,TB0291,,,,,2,330
TB0291,TB0314,,,,,2,330
A2087,A2171,,,,,2,151
A2171,A2087,,,,,2,151
TM2077,A2171,,,,,2,611
A2171,TM2077,,,,,2,611
A2171,TB2113,,,,,2,706
A6408,A2171,,,,,2,478
A2171,A6408,,,,,2,478
A2077,A2171,,,,,2,607
A2171,A2077,,,,,2,607
TB2114,A2171,,,,,2,270
TB6008,A2171,,,,,2,614
A2171,TB6008,,,,,2,614
TB2008,TB0291,,,,,2,544
TB0291,TB2008,,,,,2,544
A0385,A2171,,,,,2,460
A2171,A0385,,,,,2,460
TB0803,A2171,,,,,2,329
A2171,TB0803,,,,,2,329
A2135,TB0291,,,,,2,492
TB0291,A2135,,,,,2,492
TB0291,TB1306,,,,,2,504
TM1305,TB0291,,,,,2,586
TM2113,A2171,,,,,2,668
A2171,TM2113,,,,,2,668
TB6233,TB0291,,,,,2,355
TB0291,TB6233,,,,,2,355
A2101,TB2101,,,,,2,11
TB2101,A2101,,,,,2,11
A0290,TB0291,,,,,2,173
TB0291,A0290,,,,,2,173
TM2083,A2171,,,,,2,333
A2171,TM2083,,,,,2,333
A1306,TB0291,,,,,2,504
TB0291,A1306,,,,,2,504
A2134,TB0291,,,,,2,415
TB0291,A2134,,,,,2,415
TM2112,A2171,,,,,2,635
A2171,TM2112,,,,,2,635
A1301,TB0291,,,,,2,533
TB0291,A1301,,,,,2,533
TB6006,A2171,,,,,2,632
A2171,TB6006,,,,,2,632
TB0376,A2171,,,,,2,427
A2171,TB0376,,,,,2,427
M206,TM0376,,,,,2,675
TM0376,M206,,,,,2,675
A2234,TB1819,,,,,2,584
TB1819,A2234,,,,,2,584
A2102,A2171,,,,,2,318
A2171,A2102,,,,,2,318
TM0313,TB0291,,,,,2,142
TB0291,TM0313,,,,,2,142
A6175,A2171,,,,,2,423
A2171,A6175,,,,,2,423
A2114,A2171,,,,,2,270
A2171,A2114,,,,,2,270
TB2082,A2171,,,,,2,147
TB2010,TB0291,,,,,2,533
TB0291,TB2010,,,,,2,533
A6084,A2171,,,,,2,545
A2171,A6084,,,,,2,545
A0291,TB0291,,,,,2,0
TB0291,A0291,,,,,2,0
A0804,A2171,,,,,2,283
A2171,A0804,,,,,2,283
TB2102,A2171,,,,,2,318
A2171,TB2102,,,,,2,318
A6233,TB0291,,,,,2,356
TB0291,A6233,,,,,2,356
A1747,A1748,,,,,2,61
TB0284,A2171,,,,,2,506
A2171,TB0284,,,,,2,506
TB0490,TB0599,,,,,2,251
TB0599,TB0490,,,,,2,251
TB2089,TB0291,,,,,2,215
TB0291,TB2089,,,,,2,215
A1788,TB1719,,,,,2,325
A2008,TB0291,,,,,2,544
TB0291,A2008,,,,,2,544
TB1719,A1704,,,,,2,440
TM0312,TB0291,,,,,2,130
A2308,A0790,,,,,2,480
A0790,A2308,,,,,2,480
A6226,TB0291,,,,,2,311
TB0291,A6226,,,,,2,311
A2089,TB0291,,,,,2,202
TB0291,A2089,,,,,2,202
A0314,TB0291,,,,,2,330
TB0291,A0314,,,,,2,330
A2011,TB0291,,,,,2,462
TB0291,A2011,,,,,2,462
A0537,A0550,,,,,2,183
A0550,A0537,,,,,2,183
A0538,A0550,,,,,2,208
A6743,A2163,,,,,2,340
A2163,A6743,,,,,2,340
A6743,TM0619,,,,,2,163
TM0619,A6743,,,,,2,163
TB2352,TB0494,,,,,2,339
TB0494,TB2352,,,,,2,339
TB0764,TB2352,,,,,2,222
A6243,A2731,,,,,2,254
A6088,A2731,,,,,2,497
A0403,TB1819,,,,,2,437
A2679,TB2352,,,,,2,260
A6192,A2731,,,,,2,273
TB2352,TB0764,,,,,2,222
TM2212,A2731,,,,,2,322
A2731,TM2212,,,,,2,322
A6564,A2731,,,,,2,252
A2731,A6564,,,,,2,252
A0016,A2731,,,,,2,524
A2731,A0016,,,,,2,524
A2542,TB2352,,,,,2,256
TB2352,A2542,,,,,2,256
TB0492,TB2352,,,,,2,386
TB2352,TB0492,,,,,2,386
A2206,A2731,,,,,2,295
A0705,A6024,,,,,2,437
M11,TB2352,,,,,2,204
TB2352,M11,,,,,2,204
A2213,A2731,,,,,2,371
A2731,A2213,,,,,2,371
A1722,A0550,,,,,2,375
A0550,A1722,,,,,2,375
A2731,A6243,,,,,2,254
A2327,TM2060,,,,,2,356
TM2060,A2327,,,,,2,356
TB0164,A2731,,,,,2,314
A2731,TB0164,,,,,2,314
A6275,A2731,,,,,2,210
A2731,A6088,,,,,2,497
A1762,A0550,,,,,2,263
A0550,A1762,,,,,2,263
A2352,TB2352,,,,,2,0
TB2352,A2352,,,,,2,0
A6486,A0550,,,,,2,346
A0550,A6486,,,,,2,346
A0761,TB2352,,,,,2,251
TB2352,A0761,,,,,2,251
A0323,TB2101,,,,,2,214
TB2101,A0323,,,,,2,214
TB0520,TB0605,,,,,2,145
A2208,A2731,,,,,2,498
A2731,A2208,,,,,2,498
A0164,A2731,,,,,2,314
A2731,A0164,,,,,2,314
A2102,TM0376,,,,,2,546
TM0376,A2102,,,,,2,546
A6027,A0705,,,,,2,184
A0705,A6027,,,,,2,184
TB2208,A2731,,,,,2,498
A2731,TB2208,,,,,2,498
TB0017,A2731,,,,,2,498
A0165,A2731,,,,,2,320
A2731,A0165,,,,,2,320
TB2213,A2731,,,,,2,388
A2731,TB2213,,,,,2,388
A1875,A2731,,,,,2,674
A2731,A1875,,,,,2,674
TB2730,A2731,,,,,2,61
A2731,TB2730,,,,,2,61
A1001,A0550,,,,,2,681
A0550,A1001,,,,,2,681
TB2352,A2679,,,,,2,260
M211,A1325,,,,,2,591
A6023,A6471,,,,,2,152
A0704,A0705,,,,,2,63
A0705,A0704,,,,,2,63
TB6564,A2731,,,,,2,266
A2731,TB6564,,,,,2,266
A1734,A0550,,,,,2,392
A0550,A1734,,,,,2,392
A0492,TB2352,,,,,2,406
TB2352,A0492,,,,,2,406
A6224,A2731,,,,,2,378
A2731,A6224,,,,,2,378
A0017,A2731,,,,,2,498
TB2767,A2731,,,,,2,362
A2731,TB2767,,,,,2,362
A0764,TB2352,,,,,2,212
TB2352,A0764,,,,,2,212
TB0165,A2731,,,,,2,320
A2731,TB0165,,,,,2,320
A2210,A2731,,,,,2,411
A2731,A2210,,,,,2,411
TM0582,A2731,,,,,2,650
A2731,TM0582,,,,,2,650
A0718,A1748,,,,,2,314
A1748,A0718,,,,,2,314
TB6275,A2731,,,,,2,232
A2034,TB0599,,,,,2,394
TB0599,A2034,,,,,2,394
TB0016,A2731,,,,,2,524
A2731,TB0016,,,,,2,524
A1704,TB1719,,,,,2,440
A0630,TB2352,,,,,2,329
TB2352,A0630,,,,,2,329
A1000,A0550,,,,,2,626
A0550,A1000,,,,,2,626
TB1719,A1716,,,,,2,44
A2730,A2731,,,,,2,61
A0551,A0550,,,,,2,281
A0550,A0551,,,,,2,281
TB0761,TB2352,,,,,2,251
TB2352,TB0761,,,,,2,251
A0915,A0705,,,,,2,274
A0705,A0915,,,,,2,274
TB2542,TB2352,,,,,2,262
TB2352,TB2542,,,,,2,262
A2688,A2731,,,,,2,654
A2731,A2688,,,,,2,654
TB2731,A2731,,,,,2,0
A2731,TB2731,,,,,2,0
TB0580,A2731,,,,,2,326
TB2210,A2731,,,,,2,411
A2731,TB2210,,,,,2,411
A6193,A2731,,,,,2,256
A2731,A6193,,,,,2,256
A0627,TB2352,,,,,2,324
TB2352,A0627,,,,,2,324
TB2688,A2731,,,,,2,654
A2731,TB2688,,,,,2,654
TM2211,A2731,,,,,2,344
A2731,TM2211,,,,,2,344
A0494,TB2352,,,,,2,339
TB2351,TB2352,,,,,2,67
TB2352,TB2351,,,,,2,67
A0916,A0705,,,,,2,348
A0705,A0916,,,,,2,348
TB2679,TB2352,,,,,2,260
TB2352,TB2679,,,,,2,260
TB6088,A2731,,,,,2,488
A2731,TB6088,,,,,2,488
TB1875,A2731,,,,,2,674
A2731,TB1875,,,,,2,674
A0110,A0550,,,,,2,858
A0550,A0110,,,,,2,858
A0549,A0550,,,,,2,11
A6743,A2569,,,,,2,330
A2569,A6743,,,,,2,330
A6743,TM0708,,,,,2,554
TM0708,A6743,,,,,2,554
A6743,TM2196,,,,,2,336
A0575,A2045,,,,,2,333
M211,A2045,,,,,2,568
A2045,M211,,,,,2,568
A6350,A2045,,,,,2,464
A6024,A0705,,,,,2,437
TB0268,TB0010,,,,,2,553
A0268,TB0010,,,,,2,553
A2379,TB0010,,,,,2,481
TB0010,A2379,,,,,2,481
TB0010,TB0268,,,,,2,553
A1569,A2045,,,,,2,375
A2045,A1569,,,,,2,375
TM1572,A2045,,,,,2,317
A2045,TM1572,,,,,2,317
A0090,A2797,,,,,2,503
A2797,A0090,,,,,2,503
TM0575,A2045,,,,,2,329
A2045,TM0575,,,,,2,329
TB2036,A0861,,,,,2,484
TB2033,A0861,,,,,2,330
A0861,TB2033,,,,,2,330
A6359,A0861,,,,,2,548
A0861,A6359,,,,,2,548
TB2763,A0861,,,,,2,524
A0861,TB2763,,,,,2,524
TM1573,A2045,,,,,2,468
A2045,TM1573,,,,,2,468
A0302,TM0356,,,,,2,96
TM0356,A0302,,,,,2,96
TB0860,A0861,,,,,2,107
A0861,TB0860,,,,,2,107
A2045,A0575,,,,,2,333
A2190,A2045,,,,,2,615
A2045,A2190,,,,,2,615
A1568,A2045,,,,,2,371
A2045,A1568,,,,,2,371
A2036,A0861,,,,,2,484
A0861,A2036,,,,,2,484
A2046,A2045,,,,,2,69
A2045,A2046,,,,,2,69
A2763,A0861,,,,,2,564
A0861,A2763,,,,,2,564
TM2581,A2045,,,,,2,477
TM2580,A2045,,,,,2,448
A2045,TM2580,,,,,2,448
A2033,A0861,,,,,2,355
A0861,A2033,,,,,2,355
A1571,A2045,,,,,2,268
A2045,A1571,,,,,2,268
A6588,A2045,,,,,2,383
A2045,A6588,,,,,2,383
A0601,A0861,,,,,2,579
