table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,long_name,en,UL. DIMITAR PETKOV - PL. ZHURNALIST - UL. DIMITAR PETKOV,,,УЛ. ДИМИТЪР ПЕТКОВ - ПЛ. ЖУРНАЛИСТ - УЛ. ДИМИТЪР ПЕТКОВ
routes,long_name,en,Metrostantsiia K. Velitchkov - Gara Zaharna fabrika - Metrostantsiia K. Velitchkov,,,Метростанция К. Величков - Гара Захарна фабрика - Метростанция К. Величков
routes,long_name,en,LETISHTE SOFIYA TERMINAL 1 - UL. GEN. GURKO - LETISHTE SOFIYA TERMINAL 1,,,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1
routes,long_name,en,ZH.K. GEO MILEV - 28-mi poshtenski klon - ZH.K. GEO MILEV,,,Ж.К. ГЕО МИЛЕВ - 28-ми пощенски клон - Ж.К. ГЕО МИЛЕВ
routes,long_name,en,KV. IVANYANE - AVTOSTANTSIYA BANKYA - KV. IVANYANE,,,КВ. ИВАНЯНЕ - АВТОСТАНЦИЯ БАНКЯ - КВ. ИВАНЯНЕ
routes,long_name,en,Avtostantsiia Bankia - MANASTIR SV. PETKA - Avtostantsiia Bankia,,,Автостанция Банкя - МАНАСТИР СВ. ПЕТКА - Автостанция Банкя
routes,long_name,en,KV. SIMEONOVO - METROSTANTSIYA G. M. DIMITROV - KV. SIMEONOVO,,,КВ. СИМЕОНОВО - МЕТРОСТАНЦИЯ Г. М. ДИМИТРОВ - КВ. СИМЕОНОВО
routes,long_name,en,AP Malashevtsi - Ul. Opаltchenska - AP Malashevtsi,,,АП Малашевци - Ул. Опълченска - АП Малашевци
routes,long_name,en,SELO GERMAN - AVTOSTANTSIYA GEO MILEV - SELO GERMAN,,,СЕЛО ГЕРМАН - АВТОСТАНЦИЯ ГЕО МИЛЕВ - СЕЛО ГЕРМАН
routes,long_name,en,AVTOSTANTSIYA OVTCHA KUPEL - VZ. LYULIN - AVTOSTANTSIYA OVTCHA KUPEL,,,АВТОСТАНЦИЯ ОВЧА КУПЕЛ - ВЗ. ЛЮЛИН - АВТОСТАНЦИЯ ОВЧА КУПЕЛ
routes,long_name,en,AVTOSTANTSIYA GEO MILEV - SELO KOKALYANE - AVTOSTANTSIYA GEO MILEV,,,АВТОСТАНЦИЯ ГЕО МИЛЕВ - СЕЛО КОКАЛЯНЕ - АВТОСТАНЦИЯ ГЕО МИЛЕВ
routes,long_name,en,UMBALSM PIROGOV - GARA ISKAR - UMBALSM PIROGOV,,,УМБАЛСМ ПИРОГОВ - ГАРА ИСКЪР - УМБАЛСМ ПИРОГОВ
routes,long_name,en,PL. SV. AL. NEVSKI - PL.SV. ALEKSANDAR NEVSKI - PL. SV. AL. NEVSKI,,,ПЛ. СВ. АЛ. НЕВСКИ - ПЛ.СВ. АЛЕКСАНДЪР НЕВСКИ - ПЛ. СВ. АЛ. НЕВСКИ
routes,long_name,en,PL. SV. ALEKSANDAR NEVSKI - AVTOSTANTSIYA BANKYA - PL. SV. ALEKSANDAR NEVSKI,,,ПЛ. СВ. АЛЕКСАНДЪР НЕВСКИ - АВТОСТАНЦИЯ БАНКЯ - ПЛ. СВ. АЛЕКСАНДЪР НЕВСКИ
routes,long_name,en,Bul. TSar Boris III - Zlatnite mostove - Bul. TSar Boris III,,,Бул. Цар Борис III - Златните мостове - Бул. Цар Борис III
routes,long_name,en,Studentski grad - Kv. Obelia - Studentski grad,,,Студентски град - Кв. Обеля - Студентски град
routes,long_name,en,PL. KNYAZ ALEKSANDAR I - ZH.k. Druzhba 2 - PL. KNYAZ ALEKSANDAR I,,,ПЛ. КНЯЗ АЛЕКСАНДЪР I - Ж.к. Дружба 2 - ПЛ. КНЯЗ АЛЕКСАНДЪР I
routes,long_name,en,PL. STOTCHNA GARA - ZH.k. Druzhba 1 - PL. STOTCHNA GARA,,,ПЛ. СТОЧНА ГАРА - Ж.к. Дружба 1 - ПЛ. СТОЧНА ГАРА
routes,long_name,en,ZH.k.Liulin 5 - ZAPADEN PARK - ZH.k.Liulin 5,,,Ж.к.Люлин 5 - ЗАПАДЕН ПАРК - Ж.к.Люлин 5
routes,long_name,en,ZH.K. LYULIN -5 - BUL. LOMSKO SHOSE - ZH.K. LYULIN -5,,,Ж.К. ЛЮЛИН -5 - БУЛ. ЛОМСКО ШОСЕ - Ж.К. ЛЮЛИН -5
routes,long_name,en,PLOSHTAD MAKEDONIYA - METROSTANTSIYA HAN KUBRAT - PLOSHTAD MAKEDONIYA,,,ПЛОЩАД МАКЕДОНИЯ - МЕТРОСТАНЦИЯ ХАН КУБРАТ - ПЛОЩАД МАКЕДОНИЯ
routes,long_name,en,Grad Buhovo - Avtostantsiia Iztok - Grad Buhovo,,,Град Бухово - Автостанция Изток - Град Бухово
routes,long_name,en,ZH.k. Druzhba 1 - AVTOSTANTSIYA GEO MILEV - ZH.k. Druzhba 1,,,Ж.к. Дружба 1 - АВТОСТАНЦИЯ ГЕО МИЛЕВ - Ж.к. Дружба 1
routes,long_name,en,ZH.K.LYULIN 5 - ZH.K. ZAPADEN PARK - ZH.K.LYULIN 5,,,Ж.К.ЛЮЛИН 5 - Ж.К. ЗАПАДЕН ПАРК - Ж.К.ЛЮЛИН 5
routes,long_name,en,Avtostantsiia Kniazhevo - Bul. Bratia Bаkston - Avtostantsiia Kniazhevo,,,Автостанция Княжево - Бул. Братя Бъкстон - Автостанция Княжево
routes,long_name,en,ZH.k. Krasno selo - ZH.k. Gotse Deltchev - ZH.k. Krasno selo,,,Ж.к. Красно село - Ж.к. Гоце Делчев - Ж.к. Красно село
routes,long_name,en,SU SV. KLIMENT OHRIDSKI - Park muzey Vrana - SU SV. KLIMENT OHRIDSKI,,,СУ СВ. КЛИМЕНТ ОХРИДСКИ - Парк музей Врана - СУ СВ. КЛИМЕНТ ОХРИДСКИ
routes,long_name,en,Letishte Sofiia Terminal 2 - ZH.k. Druzhba 2 - Letishte Sofiia Terminal 2,,,Летище София Терминал 2 - Ж.к. Дружба 2 - Летище София Терминал 2
routes,long_name,en,NSBAL PO ONKOLOGIYA - SELO PLANA - NSBAL PO ONKOLOGIYA,,,НСБАЛ ПО ОНКОЛОГИЯ - СЕЛО ПЛАНА - НСБАЛ ПО ОНКОЛОГИЯ
routes,long_name,en,Zooparka - ZH.k. Druzhba 2 - Zooparka,,,Зоопарка - Ж.к. Дружба 2 - Зоопарка
routes,long_name,en,Avtostantsiia Iztok - Selo Dolni Bogrov - Avtostantsiia Iztok,,,Автостанция Изток - Село Долни Богров - Автостанция Изток
routes,long_name,en,Studentski grad - Metrostantsiia Vitosha - Studentski grad,,,Студентски град - Метростанция Витоша - Студентски град
routes,long_name,en,METROSTANTSIYA SLIVNITSA - PATEN VAZEL  KALOTINA - METROSTANTSIYA SLIVNITSA,,,МЕТРОСТАНЦИЯ СЛИВНИЦА - ПЪТЕН ВЪЗЕЛ  КАЛОТИНА - МЕТРОСТАНЦИЯ СЛИВНИЦА
routes,long_name,en,Metrostantsiia Vitosha - Ul. Graf Ignatiev - Metrostantsiia Vitosha,,,Метростанция Витоша - Ул. Граф Игнатиев - Метростанция Витоша
routes,long_name,en,Avtostantsiia Iliiantsi - GARA SOFIYA SEVER - Avtostantsiia Iliiantsi,,,Автостанция Илиянци - ГАРА СОФИЯ СЕВЕР - Автостанция Илиянци
routes,long_name,en,ZH.K. LYULIN-5 - TSENTRALNA GARA - ZH.K. LYULIN-5,,,Ж.К. ЛЮЛИН-5 - ЦЕНТРАЛНА ГАРА - Ж.К. ЛЮЛИН-5
routes,long_name,en,ZH.K. MLADOST-2 - SELO BISTRITSA - ZH.K. MLADOST-2,,,Ж.К. МЛАДОСТ-2 - СЕЛО БИСТРИЦА - Ж.К. МЛАДОСТ-2
routes,long_name,en,zh.k. Hadzhi Dimitаr - vremenna - zh.k. Hadzhi Dimitаr,,,ж.к. Хаджи Димитър - временна - ж.к. Хаджи Димитър
routes,long_name,en,METROSTANTSIYA G. M. DIMITROV - STUDENTSKI GRAD - METROSTANTSIYA G. M. DIMITROV,,,МЕТРОСТАНЦИЯ Г. М. ДИМИТРОВ - СТУДЕНТСКИ ГРАД - МЕТРОСТАНЦИЯ Г. М. ДИМИТРОВ
routes,long_name,en,INZHSTROY Sofiia AD - NADLEZ NADEZHDA - INZHSTROY Sofiia AD,,,ИНЖСТРОЙ София АД - НАДЛЕЗ НАДЕЖДА - ИНЖСТРОЙ София АД
routes,long_name,en,zh.k. Borovo - PL. STOTCHNA GARA - zh.k. Borovo,,,ж.к. Борово - ПЛ. СТОЧНА ГАРА - ж.к. Борово
routes,long_name,en,METROSTANTSIYA GORNA BANYA - METROSTANTSIYA GORNA BANYA - METROSTANTSIYA GORNA BANYA,,,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ
routes,long_name,en,Pl. Makedoniia - ZH.K.IVAN VAZOV - Pl. Makedoniia,,,Пл. Македония - Ж.К.ИВАН ВАЗОВ - Пл. Македония
routes,long_name,en,ZH.K. OVTCHA KUPEL 2 - NTS PO REHABILITATSIYA - ZH.K. OVTCHA KUPEL 2,,,Ж.К. ОВЧА КУПЕЛ 2 - НЦ ПО РЕХАБИЛИТАЦИЯ - Ж.К. ОВЧА КУПЕЛ 2
routes,long_name,en,AVTOSTANTSIYA GEO MILEV - ZOOPARKA - AVTOSTANTSIYA GEO MILEV,,,АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЗООПАРКА - АВТОСТАНЦИЯ ГЕО МИЛЕВ
stops,stop_name,en,METROSTANTSIYA AKAD. A.T.BALAN,,,МЕТРОСТАНЦИЯ АКАД. А.Т.БАЛАН
routes,long_name,en,Pl. Sred selo - METROSTANTSIYA GORNA BANYA - Pl. Sred selo,,,Пл. Сред село - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - Пл. Сред село
routes,long_name,en,BUL. KN. MARIYA LUIZA - PL. VAZRAZHDANE - BUL. KN. MARIYA LUIZA,,,БУЛ. КН. МАРИЯ ЛУИЗА - ПЛ. ВЪЗРАЖДАНЕ - БУЛ. КН. МАРИЯ ЛУИЗА
routes,long_name,en,SELO DOLNI LOZEN - AVTOSTANTSIYA GEO MILEV - SELO DOLNI LOZEN,,,СЕЛО ДОЛНИ ЛОЗЕН - АВТОСТАНЦИЯ ГЕО МИЛЕВ - СЕЛО ДОЛНИ ЛОЗЕН
routes,long_name,en,AVTOBAZA ISKAR - Ul. Gen. Gurko - AVTOBAZA ISKAR,,,АВТОБАЗА ИСКЪР - Ул. Ген. Гурко - АВТОБАЗА ИСКЪР
routes,long_name,en,Pl. Makedoniia - NIM - Pl. Makedoniia,,,Пл. Македония - НИМ - Пл. Македония
routes,long_name,en,ZH.K. MLADOST-1 - KOKALYANSKO HANTCHE - ZH.K. MLADOST-1,,,Ж.К. МЛАДОСТ-1 - КОКАЛЯНСКО ХАНЧЕ - Ж.К. МЛАДОСТ-1
routes,long_name,en,ZH.K. LYULIN-5 - PL. STOTCHNA GARA - ZH.K. LYULIN-5,,,Ж.К. ЛЮЛИН-5 - ПЛ. СТОЧНА ГАРА - Ж.К. ЛЮЛИН-5
routes,long_name,en,ZH.K. IVAN VAZOV - TSENTRALNA AVTOGARA - ZH.K. IVAN VAZOV,,,Ж.К. ИВАН ВАЗОВ - ЦЕНТРАЛНА АВТОГАРА - Ж.К. ИВАН ВАЗОВ
routes,long_name,en,AP Malashevtsi - Grad Buhovo - AP Malashevtsi,,,АП Малашевци - Град Бухово - АП Малашевци
routes,long_name,en,ZH.k. Gotse Deltchev - ZH.k.Liulin 3 - ZH.k. Gotse Deltchev,,,Ж.к. Гоце Делчев - Ж.к.Люлин 3 - Ж.к. Гоце Делчев
routes,long_name,en,Kv.Orlandovtsi - pl. ZHurnalist - Kv.Orlandovtsi,,,Кв.Орландовци - пл. Журналист - Кв.Орландовци
routes,long_name,en,BALKANKAR AD - ZH.K. OVTCHA KUPEL-2 - BALKANKAR AD,,,БАЛКАНКАР АД - Ж.К. ОВЧА КУПЕЛ-2 - БАЛКАНКАР АД
routes,long_name,en,UL. VASIL KANTCHEV - STIND - UL. VASIL KANTCHEV,,,УЛ. ВАСИЛ КЪНЧЕВ - СТИНД - УЛ. ВАСИЛ КЪНЧЕВ
routes,long_name,en,Depo Iskаr - ZH.K. GEO MILEV - Depo Iskаr,,,Депо Искър - Ж.К. ГЕО МИЛЕВ - Депо Искър
routes,long_name,en,AVTOSTANTSIYA IZTOK - GARA ISKAR - AVTOSTANTSIYA IZTOK,,,АВТОСТАНЦИЯ ИЗТОК - ГАРА ИСКЪР - АВТОСТАНЦИЯ ИЗТОК
routes,long_name,en,UL. DOBROTITCH - AVTOSTANTSIYA GEO MILEV - UL. DOBROTITCH,,,УЛ. ДОБРОТИЧ - АВТОСТАНЦИЯ ГЕО МИЛЕВ - УЛ. ДОБРОТИЧ
